filename,category,target_path
1-s2.0-S0266352X25003283-main.pdf,other,/workspace/papers_by_topic/other/1-s2.0-S0266352X25003283-main.pdf
1-s2.0-S1674775525003956-main.pdf,other,/workspace/papers_by_topic/other/1-s2.0-S1674775525003956-main.pdf
2024OrtigaoetalonLiquefactionoffourdamsEJENG3146.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/2024OrtigaoetalonLiquefactionoffourdamsEJENG3146.pdf
978-3-031-18471-0.pdf,other,/workspace/papers_by_topic/other/978-3-031-18471-0.pdf
A_Framework_for_Estimating_Matric_Suction_in_Compa 2.pdf,hydrology_geophysics,/workspace/papers_by_topic/hydrology_geophysics/A_Framework_for_Estimating_Matric_Suction_in_Compa 2.pdf
A_Framework_for_Estimating_Matric_Suction_in_Compa.pdf,hydrology_geophysics,/workspace/papers_by_topic/hydrology_geophysics/A_Framework_for_Estimating_Matric_Suction_in_Compa.pdf
A GRAIN SIZE DISTRIBUTION AND STATISTICS PACKAGE FOR THE ANALYSIS OF UNCONSOLIDATED SEDIMENTS.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/A GRAIN SIZE DISTRIBUTION AND STATISTICS PACKAGE FOR THE ANALYSIS OF UNCONSOLIDATED SEDIMENTS.pdf
A novel DEM enhancement methodology to improve.pdf,dem,/workspace/papers_by_topic/dem/A novel DEM enhancement methodology to improve.pdf
A review of Earth Artificial Intelligence.pdf,review_general,/workspace/papers_by_topic/review_general/A review of Earth Artificial Intelligence.pdf
A rheological model for loose sands with insights from DEM.pdf,clay_rheology,/workspace/papers_by_topic/clay_rheology/A rheological model for loose sands with insights from DEM.pdf
A scaling distribution for grain composition of debris flow.pdf,landslide,/workspace/papers_by_topic/landslide/A scaling distribution for grain composition of debris flow.pdf
A simple hydrodynamic model for clay.pdf,clay_rheology,/workspace/papers_by_topic/clay_rheology/A simple hydrodynamic model for clay.pdf
A simplehydrodynamic model for clay.pdf,clay_rheology,/workspace/papers_by_topic/clay_rheology/A simplehydrodynamic model for clay.pdf
Assessing Static Liquefaction Triggers in Tailings Dams Using the Critical State Constitutive Models CASM and NorSand .pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Assessing Static Liquefaction Triggers in Tailings Dams Using the Critical State Constitutive Models CASM and NorSand .pdf
A_Thermomechanical_Model_of_Coarse-Grained_Soils_W.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/A_Thermomechanical_Model_of_Coarse-Grained_Soils_W.pdf
At the Junction Between Deep Learning and Statistics of Extremes: Formalizing the Landslide Hazard Definition.pdf,landslide,/workspace/papers_by_topic/landslide/At the Junction Between Deep Learning and Statistics of Extremes: Formalizing the Landslide Hazard Definition.pdf
A viscoplastic constitutive model for plastic silts and clays.pdf,clay_rheology,/workspace/papers_by_topic/clay_rheology/A viscoplastic constitutive model for plastic silts and clays.pdf
CasMDN: A deep learning-based multivariate distribution modelling approach and its application in geotechnical engineering.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/CasMDN: A deep learning-based multivariate distribution modelling approach and its application in geotechnical engineering.pdf
Critical Review of Physical‑Mechanical.pdf,review_general,/workspace/papers_by_topic/review_general/Critical Review of Physical‑Mechanical.pdf
Displacement prediction of landslides at slope-scale: Review of physics-based and data-driven approaches.pdf,review_general,/workspace/papers_by_topic/review_general/Displacement prediction of landslides at slope-scale: Review of physics-based and data-driven approaches.pdf
dos-santos-et-al-2025-shear-wave-velocity-and-small-strain-stiffness-across-a-broad-range-of-states-in-iron-ore-tailings.pdf,tailings,/workspace/papers_by_topic/tailings/dos-santos-et-al-2025-shear-wave-velocity-and-small-strain-stiffness-across-a-broad-range-of-states-in-iron-ore-tailings.pdf
Experimental Studies and Constitutive Modeling of Static Liquefaction Instability in Sand–Clay Mixtures.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Experimental Studies and Constitutive Modeling of Static Liquefaction Instability in Sand–Clay Mixtures.pdf
Fault_rupture_propagation_through_stratified_sand-.pdf,other,/workspace/papers_by_topic/other/Fault_rupture_propagation_through_stratified_sand-.pdf
Grain-size variability in debris flows of diff 2.pdf,landslide,/workspace/papers_by_topic/landslide/Grain-size variability in debris flows of diff 2.pdf
Grain-size variability in debris flows of diff.pdf,landslide,/workspace/papers_by_topic/landslide/Grain-size variability in debris flows of diff.pdf
GrainStat_A_Python_Framework_for_Automated_Grain_M 2.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/GrainStat_A_Python_Framework_for_Automated_Grain_M 2.pdf
GrainStat_A_Python_Framework_for_Automated_Grain_M.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/GrainStat_A_Python_Framework_for_Automated_Grain_M.pdf
Improved statistical multi-scale analysis of fractured reservoir analogues.pdf,other,/workspace/papers_by_topic/other/Improved statistical multi-scale analysis of fractured reservoir analogues.pdf
Influence of grading on the mechanical behaviour of Stava tailings.pdf,tailings,/workspace/papers_by_topic/tailings/Influence of grading on the mechanical behaviour of Stava tailings.pdf
Insights into the assessment and interpretation of earthquake-induced liquefaction in sands under different degrees of saturation.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Insights into the assessment and interpretation of earthquake-induced liquefaction in sands under different degrees of saturation.pdf
Integrating the SLIDE model within CAESAR-Lisf.pdf,other,/workspace/papers_by_topic/other/Integrating the SLIDE model within CAESAR-Lisf.pdf
JRMGE-D-25-01573.pdf,other,/workspace/papers_by_topic/other/JRMGE-D-25-01573.pdf
LASL-D-25-00208_R3_reviewer.pdf,review_general,/workspace/papers_by_topic/review_general/LASL-D-25-00208_R3_reviewer.pdf
